"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Ah! My Goddess","Adventure,General","Ah! My Goddess is an Adventure game, published by NEC,which was released in Japan in 1997.","n/a","8.0","n/a","NEC","Dec 12, 1997 ","http://www.gamefaqs.com/pcfx/587859-ah-my-goddess"
"Ah! My Goddess","Adventure,General","Ah! My Goddess is an Adventure game, published by NEC,which was released in Japan in 1997.","n/a","8.0","n/a","NEC","Dec 12, 1997 ","http://www.gamefaqs.com/pcfx/587859-ah-my-goddess"
"Akazukin ChaCha: Osawagase Panic Race","Miscellaneous,Board Games","Akazukin ChaCha: Osawagase Panic Race is a Miscellaneous game, developed and published by NEC Interchannel,which was released in Japan in 1996.","n/a","6.0","n/a","NEC Interchannel","Oct 25, 1996 ","http://www.gamefaqs.com/pcfx/587888-akazukin-chacha-osawagase-panic-race"
"Angelique Special","Strategy,Breeding/Constructing","Angelique Special is a Strategy game, developed by Koei and published by NCS,which was released in Japan in 1995.","n/a","7.0","n/a","Koei","Dec 22, 1995 ","http://www.gamefaqs.com/pcfx/587862-angelique-special"
"Angelique Special 2","Strategy,Breeding/Constructing","Angelique Special 2 is a Strategy game, developed by Koei and published by NEC,which was released in Japan in 1996.","n/a","7.0","n/a","Koei","Dec6, 1996 ","http://www.gamefaqs.com/pcfx/587863-angelique-special-2"
"Angelique: Tenkuu no Requiem","Role-Playing,General","Angelique: Tenkuu no Requiem is a Role-Playing game, developed and published by Koei,which was released in Japan in 1998.","n/a","9.0","n/a","Koei","Apr2, 1998 ","http://www.gamefaqs.com/pcfx/926883-angelique-tenkuu-no-requiem"
"Anime Freak FX Vol. 1","Miscellaneous,General","Anime Freak FX Vol. 1 is a Miscellaneous game, developed and published by NEC Interchannel,which was released in Japan in 1995.","n/a","7.0","n/a","NEC Interchannel","Aug 12, 1995 ","http://www.gamefaqs.com/pcfx/587864-anime-freak-fx-vol-1"
"Anime Freak FX Vol. 2","Miscellaneous,General","Anime Freak FX Vol. 2 is a Miscellaneous game, developed and published by NEC Interchannel,which was released in Japan in 1995.","n/a","6.0","n/a","NEC Interchannel","Dec 22, 1995 ","http://www.gamefaqs.com/pcfx/587865-anime-freak-fx-vol-2"
"Anime Freak FX Vol. 3","Miscellaneous,General","Anime Freak FX Vol. 3 is a Miscellaneous game, developed and published by NEC Interchannel,which was released in Japan in 1996.","n/a","5.0","n/a","NEC Interchannel","Apr5, 1996 ","http://www.gamefaqs.com/pcfx/587866-anime-freak-fx-vol-3"
"Anime Freak FX Vol. 4","Miscellaneous,General","Anime Freak FX Vol. 4 is a Miscellaneous game, developed and published by NEC Interchannel,which was released in Japan in 1997.","n/a","8.0","n/a","NEC Interchannel","Feb 28, 1997 ","http://www.gamefaqs.com/pcfx/587867-anime-freak-fx-vol-4"
"Anime Freak FX Vol. 5","Miscellaneous,General","Anime Freak FX Vol. 5 is a Miscellaneous game, published by NEC Interchannel,which was released in Japan in 1997.","n/a","n/a","n/a","NEC Interchannel","Aug 29, 1997 ","http://www.gamefaqs.com/pcfx/918352-anime-freak-fx-vol-5"
"Anime Freak FX Vol. 6","Miscellaneous,General","Anime Freak FX Vol. 6 is a Miscellaneous game, published by NEC Interchannel,which was released in Japan in 1998.","n/a","8.0","n/a","NEC Interchannel","Feb 27, 1998 ","http://www.gamefaqs.com/pcfx/918353-anime-freak-fx-vol-6"
"Arubarea no Otome","Strategy,General","Arubarea no Otome is a Strategy game, developed by Gimmick House and published by NEC,which was released in Japan in 1997.","n/a","8.0","n/a","Gimmick House","Jun 27, 1997 ","http://www.gamefaqs.com/pcfx/587868-arubarea-no-otome"
"Battle Heat","Action,General","Battle Heat is an Action game, developed and published by Hudson,which was released in Japan in 1994.","n/a","6.3","n/a","Hudson","Dec 23, 1994 ","http://www.gamefaqs.com/pcfx/587869-battle-heat"
"Blue Breaker","Role-Playing,Console-style RPG","Blue Breaker is a Role-Playing game, developed by HuneX and published by NEC,which was released in Japan in 1996.","n/a","n/a","n/a","HuneX","Sep 27, 1996 ","http://www.gamefaqs.com/pcfx/587870-blue-breaker"
"Blue Breaker","Role-Playing,Console-style RPG","Blue Breaker is a Role-Playing game, developed by HuneX and published by NEC,which was released in Japan in 1996.","n/a","n/a","n/a","HuneX","Sep 27, 1996 ","http://www.gamefaqs.com/pcfx/587870-blue-breaker"
"J.B. Harold: Blue Chicago Blues","Adventure,General","J.B. Harold: Blue Chicago Blues is an Adventure game, developed by Riverhillsoft and published by NEC Interchannel,which was released in Japan in 1996.","n/a","8.0","n/a","Riverhillsoft","Mar 22, 1996 ","http://www.gamefaqs.com/pcfx/587871-jb-harold-blue-chicago-blues"
"Boundary Gate: Daughter of Kingdom","Role-Playing,General","Boundary Gate: Daughter of Kingdom is a Role-Playing game, developed by Polestar and published by NEC Interchannel,which was released in Japan in 1997.","n/a","7.0","n/a","Polestar","Jan 24, 1997 ","http://www.gamefaqs.com/pcfx/587872-boundary-gate-daughter-of-kingdom"
"Can Can Bunny Extra DX","Adventure,General","Can Can Bunny Extra DX is an Adventure game, developed by Kid and published by Cocktail Soft,which was released in Japan in 1996.","n/a","7.0","n/a","Kid","Sep 27, 1996 ","http://www.gamefaqs.com/pcfx/587873-can-can-bunny-extra-dx"
