"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"AAA: El Videojuego","Action,Fighting,Wrestling","AAA: El Videojuego is an Action game, developed by Immersion Software & Graphics and published by Sabarasa Entertainment,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/psp/961092-aaa-el-videojuego"
"Abunai: Koi no Sousa Shitsu","Adventure,General","Abunai: Koi no Sousa Shitsu is an Adventure game, developed and published by Quinrose,which was released in Japan in 2012.","n/a","6.0","n/a","Quinrose","May 31, 2012 ","http://www.gamefaqs.com/psp/657803-abunai-koi-no-sousa-shitsu"
"Accel World: Ginyoku no Kakusei","Adventure,First-Person,Modern","Accel World: Ginyoku no Kakusei is an Adventure game, developed and published by Bandai Namco Games,which was released in Asia in 2012.","n/a","6.0","n/a","Bandai Namco Games","Sep 13, 2012 ","http://www.gamefaqs.com/psp/660540-accel-world-ginyoku-no-kakusei"
"Accel World: Kasoku no Chouten","Adventure,First-Person,Modern","Accel World: Kasoku no Chouten is an Adventure game, developed and published by Bandai Namco Games,which was released in Japan in 2013.","n/a","5.4","n/a","Bandai Namco Games","Jan 31, 2013 ","http://www.gamefaqs.com/psp/660539-accel-world-kasoku-no-chouten"
"Ace Armstrong vs. the Alien Scumbags!","Action,Shooter,Scrolling","Ace Armstrong vs. the Alien Scumbags! is an Action game, developed and published by Laughing Jackal,which was released in 2010.","n/a","3.0","","","","http://www.gamefaqs.com/psp/605816-ace-armstrong-vs-the-alien-scumbags"
"Ace Combat: Joint Assault","Action,Flight","The latest installment of the greatest air combat game series soars onto the PSP system with an arsenal full of ground breaking new features! ACE COMBAT JOINT ASSAULT pushes the PSP system's capacity to its limit with robust online gameplay, CO-OP enabled campaign mode, new strategic AI system and more!","8.0","7.9","71","Project Aces ","Aug 31, 2010 ","http://www.gamefaqs.com/psp/985982-ace-combat-joint-assault"
"Ace Combat X: Skies of Deception","Simulation,Flight,Modern Jet","With licensed aircraft such as the F-14D and Tornado F3, and a strategic AI system where the course of the player's actions directly affect their mission objectives, Ace Combat X: Skies of Deception allows the player to take on the role of an ace pilot trying to liberate his home country of Aurelia from its neighbor, Leasath. A country filled with secretive motives veiled behind long-internal conflicts, Leasath, has invaded and taken over Aurelia. Defending the invaded country, the player's mission is to take them to the battle-filled skies in order to take down the enemy and restore freedom and peace to his homeland. Rounding out the list of features, Ace Combat X: Skies of Deception allows players to tune their original aircrafts with parts unlocked in Campaign Mode to further enhance their flying experience.","8.0","8.0","75","Project Aces ","Oct 23, 2006 ","http://www.gamefaqs.com/psp/932560-ace-combat-x-skies-of-deception"
"Ace Combat: Joint Assault","Action,Flight","The latest installment of the greatest air combat game series soars onto the PSP system with an arsenal full of ground breaking new features! ACE COMBAT JOINT ASSAULT pushes the PSP system's capacity to its limit with robust online gameplay, CO-OP enabled campaign mode, new strategic AI system and more!","8.0","7.9","71","Project Aces ","Aug 31, 2010 ","http://www.gamefaqs.com/psp/985982-ace-combat-joint-assault"
"Aces of War","Simulation,Flight,WWII","In Aces of War you take control of 40 different types of aircraft in an attempt to change the course of events. Avoid enemy fire, bomb enemy ships and attack enemy fighters, and then watch the replays of your heroic actions just as if you were part of a war blockbuster. And for some real dogfight action you can try shooting your pals out of the sky in the great VS mode, or you can let them be your wingmen in the cooperative mode.","n/a","5.7","","","","http://www.gamefaqs.com/psp/929837-aces-of-war"
"Action Pack: Prince of Persia Revelations, Driver 76, Rainbow Six Vegas","Miscellaneous,Compilation","Action Pack: Prince of Persia Revelations, Driver 76, Rainbow Six Vegas is a Miscellaneous game, developed and published by Ubisoft,which was released in Europe in 2009.","n/a","8.0","n/a","Ubisoft","Mar 27, 2009 ","http://www.gamefaqs.com/psp/959132-action-pack-prince-of-persia-revelations-driver-76"
